Attractor count,Shortest path,Truth tables,Accuracy,Precision,Recall,F1 score,In-degree similarity,Running time
33.333333333333336,64.0,67.25,48,67,27,38,64,5.07265305519104
66.66666666666667,68.0,33.0,52,67,40,50,76,4.489590406417847
33.333333333333336,68.0,57.75,76,100,60,75,76,4.382112741470337
66.66666666666667,72.0,42.0,56,83,33,47,64,4.480809450149536
33.333333333333336,76.0,54.0,52,64,47,54,76,4.517106294631958
66.66666666666667,76.0,51.75,56,75,40,52,72,4.425415992736816
33.333333333333336,80.0,64.25,68,100,47,64,68,4.61503529548645
16.666666666666668,80.0,70.25,68,100,47,64,68,4.460022926330566
33.333333333333336,60.0,45.25,72,100,53,69,72,4.442418813705444
66.66666666666667,80.0,57.75,60,86,40,55,68,4.432522296905518
33.333333333333336,60.0,70.5,60,78,47,59,76,4.604389429092407
16.666666666666668,64.0,60.75,52,71,33,45,68,4.531277656555176
33.333333333333336,80.0,63.75,64,88,47,61,64,4.585340261459351
33.333333333333336,60.0,35.75,68,82,60,69,76,4.498534917831421
100.0,88.0,70.0,60,78,47,59,68,4.59183669090271
16.666666666666668,48.0,54.5,56,83,33,47,64,4.848275184631348
33.333333333333336,76.0,42.0,60,78,47,59,76,4.697807312011719
33.333333333333336,72.0,45.5,56,83,33,47,64,5.472314119338989
16.666666666666668,52.0,51.5,64,88,47,61,72,4.532924175262451
33.333333333333336,72.0,58.0,64,88,47,61,72,4.673024415969849
33.333333333333336,72.0,60.75,56,83,33,47,64,5.640061616897583
33.333333333333336,60.0,64.0,64,80,53,64,80,5.0481276512146
33.333333333333336,76.0,67.25,52,67,40,50,76,4.824394464492798
33.333333333333336,92.0,60.75,48,62,33,43,72,4.9889068603515625
33.333333333333336,44.0,57.75,56,83,33,47,64,4.998632192611694
66.66666666666667,52.0,64.0,52,80,27,40,60,4.753713607788086
33.333333333333336,56.0,48.25,40,50,20,29,64,4.879719018936157
33.333333333333336,60.0,54.5,48,62,33,43,64,4.889011383056641
16.666666666666668,76.0,56.333333333333336,56,70,47,56,72,5.389988660812378
66.66666666666667,56.0,60.75,72,100,53,69,72,4.649738311767578
