Attractor count,Shortest path,Truth tables,Accuracy,Precision,Recall,F1 score,In-degree similarity,Running time
50.0,0,54.22222222222222,76,43,22,29,86,80.87792778015137
44.44444444444444,0,48.5,73,31,17,22,87,87.55447268486023
0.0,0,49.8235294117647,74,30,15,20,84,89.2234160900116
77.77777777777777,0,49.666666666666664,72,27,15,19,86,72.97733855247498
16.666666666666668,0,50.388888888888886,73,25,11,15,84,83.79866409301758
77.77777777777777,0,64.44444444444444,73,25,11,15,84,79.61872720718384
27.777777777777775,0,52.888888888888886,73,26,11,15,82,82.93351936340332
33.33333333333333,0,57.55555555555556,73,26,12,16,85,72.15643286705017
33.33333333333333,0,54.55555555555556,73,24,10,14,84,70.69263935089111
55.55555555555555,0,53.72222222222222,73,26,12,16,83,82.62300109863281
77.77777777777777,0,56.611111111111114,74,33,16,22,84,90.00927448272705
77.77777777777777,0,56.27777777777778,74,29,14,19,85,90.57136344909668
33.333333333333336,0,50.77777777777778,73,28,15,20,85,76.19977164268494
33.333333333333336,0,52.529411764705884,73,28,14,19,84,94.928706407547
61.1111111111111,0,47.388888888888886,74,30,15,20,85,75.51397228240967
27.777777777777775,0,50.72222222222222,72,21,10,14,83,76.83938455581665
16.666666666666668,0,56.666666666666664,74,31,17,22,85,84.32384729385376
61.1111111111111,0,58.77777777777778,73,26,11,15,84,81.01467657089233
0.0,0,50.611111111111114,74,31,16,21,86,99.24359703063965
77.77777777777777,0,58.1764705882353,72,26,15,19,86,74.83096408843994
33.333333333333336,0,59.611111111111114,74,32,16,21,85,87.72190308570862
77.77777777777777,0,56.5,76,41,22,29,85,80.49947214126587
33.333333333333336,0,53.6875,72,27,15,19,84,90.94665241241455
33.333333333333336,0,45.05555555555556,74,33,16,22,85,85.49022054672241
77.77777777777777,0,50.72222222222222,72,28,18,22,84,91.76560258865356
16.666666666666668,0,53.411764705882355,70,22,14,17,84,127.72264266014099
77.77777777777777,0,58.111111111111114,71,21,11,14,85,93.03969526290894
33.333333333333336,0,59.666666666666664,75,36,18,24,86,99.07261061668396
0.0,0,57.94444444444444,72,24,14,18,85,88.29050064086914
16.666666666666668,0,56.166666666666664,75,36,19,25,86,100.25578927993774
